Corner,Worst Setup Slack,Worst Hold Slack,WNS,TNS
sky130_fd_sc_hd__tt_025C_1v80.lib,7.5324,0.3096,0.0,0.0
sky130_fd_sc_hd__ff_100C_1v65.lib,8.3122,0.2491,0.0,0.0
sky130_fd_sc_hd__ff_100C_1v95.lib,8.8805,0.196,0.0,0.0
sky130_fd_sc_hd__ff_n40C_1v56.lib,7.5135,0.2915,0.0,0.0
sky130_fd_sc_hd__ff_n40C_1v65.lib,7.981,0.2551,0.0,0.0
sky130_fd_sc_hd__ff_n40C_1v76.lib,8.3959,0.2243,0.0,0.0
sky130_fd_sc_hd__ss_100C_1v40.lib,0.9453,0.9053,0.0,0.0
sky130_fd_sc_hd__ss_100C_1v60.lib,4.1401,0.642,0.0,0.0
sky130_fd_sc_hd__ss_n40C_1v28.lib,-17.1518,1.8296,-17.1518,-5778.6343
sky130_fd_sc_hd__ss_n40C_1v35.lib,-7.9686,1.3475,-7.9686,-1871.6985
sky130_fd_sc_hd__ss_n40C_1v40.lib,-4.1543,1.1249,-4.1543,-650.8981
sky130_fd_sc_hd__ss_n40C_1v44.lib,-1.8958,0.9909,-1.8958,-121.7301
sky130_fd_sc_hd__ss_n40C_1v76.lib,5.2885,0.5038,0.0,0.0
